date,version_number,scenario,watcher_id,ip,id,rdns,country,as_num,as_name,Config,scenario_category,malevolence_score
2022-01-08,v1.2.2,crowdsecurity/ssh-slow-bf,111566,31.184.198.71,153806,,RU,34665,Petersburg Internet Network ltd.,MachineA#NoBouncer,Bruteforce,5
2022-01-08,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,31.184.198.71,153806,,RU,34665,Petersburg Internet Network ltd.,MachineA#NoBouncer,Bruteforce,5
2022-01-08,v1.2.2,crowdsecurity/ssh-slow-bf,111566,31.184.198.71,153806,,RU,34665,Petersburg Internet Network ltd.,MachineA#NoBouncer,Bruteforce,5
2022-01-08,v1.2.2,crowdsecurity/ssh-slow-bf,111566,31.184.198.71,153806,,RU,34665,Petersburg Internet Network ltd.,MachineA#NoBouncer,Bruteforce,5
2022-01-08,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,31.184.198.71,153806,,RU,34665,Petersburg Internet Network ltd.,MachineA#NoBouncer,Bruteforce,5
2022-01-08,v1.2.2,crowdsecurity/ssh-slow-bf,111566,31.184.198.71,153806,,RU,34665,Petersburg Internet Network ltd.,MachineA#NoBouncer,Bruteforce,5
2022-01-08,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,31.184.198.71,153806,,RU,34665,Petersburg Internet Network ltd.,MachineA#NoBouncer,Bruteforce,5
2022-01-08,v1.2.2,crowdsecurity/ssh-slow-bf,111566,31.184.198.71,153806,,RU,34665,Petersburg Internet Network ltd.,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf_user-enum,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf,111566,209.141.45.145,1665573,bv4.bo4.fr,US,53667,PONYNET,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,209.141.45.145,1665573,bv4.bo4.fr,US,53667,PONYNET,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf_user-enum,111566,209.141.45.145,1665573,bv4.bo4.fr,US,53667,PONYNET,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,209.141.45.145,1665573,bv4.bo4.fr,US,53667,PONYNET,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf_user-enum,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,45.141.84.126,9,,RU,206728,Media Land LLC,MachineA#NoBouncer,Bruteforce,5
2021-12-22,v1.2.2,crowdsecurity/jira_cve-2021-26086,111566,161.35.86.181,496651,probe-nl001.rand0.leakix.org,NL,14061,DIGITALOCEAN-ASN,MachineA#NoBouncer,Exploit,5
2021-12-22,v1.2.2,crowdsecurity/http-cve-2021-41773,111566,161.35.86.181,496651,probe-nl001.rand0.leakix.org,NL,14061,DIGITALOCEAN-ASN,MachineA#NoBouncer,Exploit,5
2021-12-22,v1.2.2,crowdsecurity/http-open-proxy,111566,161.35.86.181,496651,probe-nl001.rand0.leakix.org,NL,14061,DIGITALOCEAN-ASN,MachineA#NoBouncer,Scanner,5
2021-12-22,v1.2.2,crowdsecurity/http-probing,111566,161.35.86.181,496651,probe-nl001.rand0.leakix.org,NL,14061,DIGITALOCEAN-ASN,MachineA#NoBouncer,Scanner,5
2022-01-10,v1.2.2,crowdsecurity/http-probing,111566,20.203.156.151,1606302,,CH,8075,MICROSOFT-CORP-MSN-AS-BLOCK,MachineA#NoBouncer,Scanner,5
2021-12-28,v1.2.2,crowdsecurity/http-cve-2021-41773,111566,195.54.160.149,1264271,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2021-12-28,v1.2.2,crowdsecurity/http-open-proxy,111566,51.158.78.179,866881,179-78-158-51.instances.scw.cloud,FR,12876,Online S.a.s.,MachineA#NoBouncer,Scanner,5
2021-12-26,v1.2.2,crowdsecurity/ssh-bf,111566,36.110.228.254,1015215,,CN,23724,"IDC, China Telecommunications Corporation",MachineA#NoBouncer,Bruteforce,5
2021-12-26,v1.2.2,crowdsecurity/ssh-slow-bf,111566,36.110.228.254,1015215,,CN,23724,"IDC, China Telecommunications Corporation",MachineA#NoBouncer,Bruteforce,5
2021-12-26,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,36.110.228.254,1015215,,CN,23724,"IDC, China Telecommunications Corporation",MachineA#NoBouncer,Bruteforce,5
2021-12-26,v1.2.2,crowdsecurity/ssh-bf_user-enum,111566,36.110.228.254,1015215,,CN,23724,"IDC, China Telecommunications Corporation",MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/apache_log4j2_cve-2021-44228,111566,167.71.175.10,1110757,,US,14061,DIGITALOCEAN-ASN,MachineA#NoBouncer,Exploit,5
2022-01-08,v1.2.2,crowdsecurity/thinkphp-cve-2018-20062,111566,45.146.165.37,1581635,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2022-02-15,v1.2.2,crowdsecurity/thinkphp-cve-2018-20062,111566,45.146.165.37,1581635,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2022-01-08,v1.2.2,crowdsecurity/http-cve-2021-41773,111566,45.146.165.37,1581635,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2021-12-28,v1.2.2,crowdsecurity/http-open-proxy,111566,35.221.37.187,1518810,187.37.221.35.bc.googleusercontent.com,US,396982,GOOGLE-CLOUD-PLATFORM,MachineA#NoBouncer,Scanner,2
2022-01-02,v1.2.2,crowdsecurity/apache_log4j2_cve-2021-44228,111566,195.54.160.149,1264271,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2022-01-10,v1.2.2,crowdsecurity/http-open-proxy,111566,212.47.244.68,866928,68-244-47-212.instances.scw.cloud,FR,12876,Online S.a.s.,MachineA#NoBouncer,Scanner,5
2022-03-04,v1.2.2,crowdsecurity/http-probing,111566,106.12.203.219,2244501,,CN,38365,"Beijing Baidu Netcom Science and Technology Co., Ltd.",MachineA#NoBouncer,Scanner,3
2022-03-04,v1.2.2,crowdsecurity/http-probing,111566,106.12.203.219,2244501,,CN,38365,"Beijing Baidu Netcom Science and Technology Co., Ltd.",MachineA#NoBouncer,Scanner,3
2021-12-22,v1.2.2,crowdsecurity/apache_log4j2_cve-2021-44228,111566,77.37.134.80,1358432,broadband-77-37-134-80.ip.moscow.rt.ru,RU,42610,Rostelecom,MachineA#NoBouncer,Exploit,5
2022-02-21,v1.2.2,crowdsecurity/http-cve-2021-41773,111566,45.146.165.37,1581635,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2022-01-07,v1.2.2,crowdsecurity/http-cve-2021-41773,111566,45.146.165.37,1581635,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2022-02-07,v1.2.2,crowdsecurity/http-open-proxy,111566,45.81.232.239,2256040,45.81.232.239.mc-host24.de,DE,44486,SYNLINQ,MachineA#NoBouncer,Scanner,5
2022-02-07,v1.2.2,crowdsecurity/http-open-proxy,111566,45.81.232.239,2256040,45.81.232.239.mc-host24.de,DE,44486,SYNLINQ,MachineA#NoBouncer,Scanner,5
2022-01-02,v1.2.2,crowdsecurity/http-cve-2021-41773,111566,195.54.160.149,1264271,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2021-12-25,v1.2.2,crowdsecurity/http-cve-2021-41773,111566,195.54.160.149,1264271,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2021-12-28,v1.2.2,crowdsecurity/apache_log4j2_cve-2021-44228,111566,195.54.160.149,1264271,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2021-12-22,v1.2.2,crowdsecurity/http-open-proxy,111566,212.47.244.68,866928,68-244-47-212.instances.scw.cloud,FR,12876,Online S.a.s.,MachineA#NoBouncer,Scanner,5
2022-01-17,v1.2.2,crowdsecurity/http-open-proxy,111566,89.248.165.52,110758,recyber.net,GB,202425,IP Volume inc,MachineA#NoBouncer,Scanner,5
2022-01-10,v1.2.2,crowdsecurity/http-open-proxy,111566,161.97.119.209,1519496,vmi682120.contaboserver.net,DE,51167,Contabo GmbH,MachineA#NoBouncer,Scanner,5
2022-02-07,v1.2.2,crowdsecurity/http-open-proxy,111566,45.81.232.239,2256040,45.81.232.239.mc-host24.de,DE,44486,SYNLINQ,MachineA#NoBouncer,Scanner,5
2022-03-05,v1.2.2,crowdsecurity/http-probing,111566,88.80.186.144,988143,88-80-186-144.ip.linodeusercontent.com,GB,63949,"Linode, LLC",MachineA#NoBouncer,Scanner,5
2021-12-28,v1.2.2,crowdsecurity/ssh-bf,111566,140.110.13.60,1511589,,TW,7539,National Center for High-performance Computing,MachineA#NoBouncer,Bruteforce,2
2022-02-21,v1.2.2,crowdsecurity/thinkphp-cve-2018-20062,111566,45.146.165.37,1581635,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2022-01-08,v1.2.2,crowdsecurity/http-open-proxy,111566,51.158.78.179,866881,179-78-158-51.instances.scw.cloud,FR,12876,Online S.a.s.,MachineA#NoBouncer,Scanner,5
2022-02-20,v1.2.2,crowdsecurity/http-bad-user-agent,111566,205.185.127.43,2407101,inifinite.mooo.com,US,53667,PONYNET,MachineA#NoBouncer,Scanner,5
2022-01-19,v1.2.2,crowdsecurity/thinkphp-cve-2018-20062,111566,45.146.165.37,1581635,,RU,49505,OOO Network of data-centers Selectel,MachineA#NoBouncer,Exploit,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf_user-enum,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
2021-12-25,v1.2.2,crowdsecurity/ssh-slow-bf,111566,185.246.130.20,150647,,IM,42237,Amati Foundation,MachineA#NoBouncer,Bruteforce,5
